iter	Accuracy	Logloss
0	0.8569482289	0.660276764
1	0.8446866485	0.6311746011
2	0.8433242507	0.6083122654
3	0.8623978202	0.5839280404
4	0.8678474114	0.5619090625
5	0.8569482289	0.542116058
6	0.8596730245	0.5246590588
7	0.8651226158	0.5089949892
8	0.8678474114	0.4943491671
9	0.878746594	0.4791088311
10	0.8801089918	0.4702415076
11	0.8773841962	0.4569442546
12	0.8841961853	0.4468086935
13	0.8855585831	0.4369158469
14	0.8855585831	0.4287223631
15	0.8841961853	0.4212101368
16	0.8896457766	0.412212291
17	0.8869209809	0.4047064142
18	0.8882833787	0.3970789552
19	0.8896457766	0.3903308567
20	0.8896457766	0.3837065873
21	0.8882833787	0.3778019743
22	0.8896457766	0.3724135923
23	0.8910081744	0.3676380701
24	0.8950953678	0.3638783942
25	0.8923705722	0.3587471589
26	0.8923705722	0.3552715581
27	0.8923705722	0.3510742575
28	0.8923705722	0.3474793047
29	0.8910081744	0.3444507588
30	0.89373297	0.3405935387
31	0.8923705722	0.336943345
32	0.8923705722	0.3342822706
33	0.8896457766	0.3314792003
34	0.8923705722	0.3282223758
35	0.8923705722	0.3248306234
36	0.8950953678	0.3224549362
37	0.8950953678	0.3199072308
38	0.8950953678	0.3171117262
39	0.8964577657	0.3146287705
40	0.8964577657	0.3122219339
41	0.8964577657	0.3106188582
42	0.8991825613	0.3092949976
43	0.8964577657	0.3073994168
44	0.8964577657	0.3053052698
45	0.8991825613	0.3035018552
46	0.8991825613	0.3015163884
47	0.8991825613	0.2997452558
48	0.9005449591	0.2971384593
49	0.8991825613	0.2953493697
50	0.8991825613	0.2939440697
51	0.9019073569	0.2916732192
52	0.9005449591	0.2889226656
53	0.9019073569	0.2873336743
54	0.9005449591	0.2858340318
55	0.9019073569	0.2844866454
56	0.9005449591	0.2827497977
57	0.9005449591	0.2814218475
58	0.9019073569	0.2804112098
59	0.9032697548	0.2784945814
60	0.9032697548	0.2772012273
61	0.9019073569	0.275646623
62	0.9005449591	0.2744639248
63	0.9005449591	0.2731411479
64	0.9019073569	0.2721904699
65	0.9032697548	0.269723721
66	0.9019073569	0.268428237
67	0.9046321526	0.2668717633
68	0.9032697548	0.2655734686
69	0.9046321526	0.2643363038
70	0.9046321526	0.263045098
71	0.9046321526	0.2616132361
72	0.9073569482	0.260445288
73	0.9073569482	0.2593153894
74	0.908719346	0.2583666484
75	0.9100817439	0.2571116616
76	0.9100817439	0.2558206493
77	0.9114441417	0.2547310114
78	0.9100817439	0.2530867944
79	0.9114441417	0.2519557647
80	0.9114441417	0.2513337882
81	0.9114441417	0.2504097581
82	0.9114441417	0.2497603884
83	0.9128065395	0.2486852421
84	0.9128065395	0.2483321519
85	0.9141689373	0.2474527881
86	0.9128065395	0.2460777015
87	0.9155313351	0.2449896703
88	0.9155313351	0.244940509
89	0.9155313351	0.2440121666
90	0.9155313351	0.2429243044
91	0.9155313351	0.2423222663
92	0.916893733	0.2419051281
93	0.9155313351	0.2408920583
94	0.916893733	0.2397134235
95	0.916893733	0.2387787419
96	0.9155313351	0.2369878669
97	0.916893733	0.2359549917
98	0.9155313351	0.2354676241
99	0.916893733	0.2352256329
