iter	Passed	Remaining
0	0	87
1	1	81
2	2	90
3	3	86
4	4	84
5	4	78
6	5	78
7	6	77
8	7	75
9	8	74
10	8	69
11	9	66
12	9	65
13	10	64
14	10	61
15	11	60
16	12	62
17	13	63
18	14	63
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	48
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	31	44
41	32	44
42	32	43
43	33	42
44	34	42
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	36
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	46	31
60	47	30
61	48	29
62	49	29
63	50	28
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	55	22
71	57	22
72	57	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	68	11
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	73	5
93	74	4
94	74	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
